index,0,1,2,3,4,Filter_0_Value_1,Filter_0_dontcares_1
0,0,0,0,0,0,False,False
1,0,0,0,0,1,True,False
2,0,0,0,1,0,True,False
3,0,0,0,1,1,True,True
4,0,0,1,0,0,False,False
5,0,0,1,0,1,True,True
6,0,0,1,1,0,False,True
7,0,0,1,1,1,True,True
8,0,1,0,0,0,True,False
9,0,1,0,0,1,True,False
10,0,1,0,1,0,True,False
11,0,1,0,1,1,True,True
12,0,1,1,0,0,True,False
13,0,1,1,0,1,True,True
14,0,1,1,1,0,True,True
15,0,1,1,1,1,True,True
16,1,0,0,0,0,False,False
17,1,0,0,0,1,True,False
18,1,0,0,1,0,True,False
19,1,0,0,1,1,True,True
20,1,0,1,0,0,True,False
21,1,0,1,0,1,True,True
22,1,0,1,1,0,True,True
23,1,0,1,1,1,True,True
24,1,1,0,0,0,True,False
25,1,1,0,0,1,True,False
26,1,1,0,1,0,True,False
27,1,1,0,1,1,True,True
28,1,1,1,0,0,True,False
29,1,1,1,0,1,True,True
30,1,1,1,1,0,True,True
31,1,1,1,1,1,True,True
